Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,hgnetv2_b1.ssld_stage2_ft_in1k,288,79.904,68,56,1717.38643,35066316.56,204326.364,6.34,6343158,806296143,6343158,824620248,27861624,TRUE
TBD,TBD,hgnetv2_b1.ssld_stage2_ft_in1k,224,78.896,112,112,2928.639206,40596257.08,118512.3267,6.34,6343158,489402959,6343158,500486360,16861816,TRUE
TBD,TBD,hgnetv2_b2.ssld_stage1_in22k_in1k,288,81.46,46,44,1058.056918,44546149.55,327790.7458,11.22,11221356,1877329754,11221356,1903987480,42528696,TRUE
TBD,TBD,hgnetv2_b2.ssld_stage1_in22k_in1k,224,80.746,76,76,1821.53945,44468427.04,189330.5517,11.22,11221356,1137731418,11221356,1153851160,25735096,TRUE
TBD,TBD,hgnetv2_b2.ssld_stage2_ft_in1k,288,82.36,46,46,1059.920139,46453195.59,329622.4797,11.22,11221356,1877329754,11221356,1903987480,42528696,TRUE
TBD,TBD,hgnetv2_b2.ssld_stage2_ft_in1k,224,81.566,76,76,1791.365184,45409732.78,195172.9035,11.22,11221356,1137731418,11221356,1153851160,25735096,TRUE
TBD,TBD,hgnetv2_b3.ssld_stage1_in22k_in1k,288,83.114,36,36,839.6725581,45472407.07,408861.5635,16.29,16292216,2923397696,16292216,2955936536,52918968,TRUE
TBD,TBD,hgnetv2_b3.ssld_stage1_in22k_in1k,224,82.61,62,52,1367.223089,40754147.63,256412.638,16.29,16292216,1770955328,16292216,1790629656,32021176,TRUE
TBD,TBD,hgnetv2_b3.ssld_stage2_ft_in1k,288,83.58,36,24,849.1391988,29998955.76,405422.0915,16.29,16292216,2923397696,16292216,2955936536,52918968,TRUE
TBD,TBD,hgnetv2_b3.ssld_stage2_ft_in1k,224,82.91,62,56,1365.306335,43971410.78,255518.0402,16.29,16292216,1770955328,16292216,1790629656,32021176,TRUE
TBD,TBD,hgnetv2_b4.ssld_stage1_in22k_in1k,288,83.448,32,32,704.3974266,48294100.66,484956.4408,19.8,19796680,4515684712,19796680,4558170408,67307704,TRUE
TBD,TBD,hgnetv2_b4.ssld_stage1_in22k_in1k,224,82.886,54,52,1174.161284,47346138.94,295687.2986,19.8,19796680,2734195048,19796680,2759883048,40724664,TRUE
TBD,TBD,hgnetv2_b4.ssld_stage2_ft_in1k,288,83.934,32,32,704.4890578,48274588.9,488468.6512,19.8,19796680,4515684712,19796680,4558170408,67307704,TRUE
